student_id,original_url,normalized_url,local_path,status,error,file_size_bytes
23025313,https://raw.githubusercontent.com/hussainrifat/QDArchive/blob/main/23025313-seeding.db,https://raw.githubusercontent.com/hussainrifat/QDArchive/main/23025313-seeding.db,data/student_metadata/23025313.db,downloaded,,4313088
23025328,https://raw.githubusercontent.com/akmyasar/Applied-Software-Engineering-Project/blob/main/23025328-seeding.db,https://raw.githubusercontent.com/akmyasar/Applied-Software-Engineering-Project/main/23025328-seeding.db,data/student_metadata/23025328.db,downloaded,,3489792
23041405,https://raw.githubusercontent.com/navalmor/QDArchive/blob/main/23041405-seeding.db,https://raw.githubusercontent.com/navalmor/QDArchive/main/23041405-seeding.db,data/student_metadata/23041405.db,downloaded,,5468160
23047806,https://raw.githubusercontent.com/RzHridoy/seedingQDArchive/blob/main/23047806_seeding.db,https://raw.githubusercontent.com/RzHridoy/seedingQDArchive/main/23047806_seeding.db,data/student_metadata/23047806.db,downloaded,,6598656
23071063,https://raw.githubusercontent.com/Xinia400/Applied-Software-Engineering-Project/blob/1384ac5c1195a3433507b1e44733e8132c277c06/23071063-seeding.db,https://raw.githubusercontent.com/Xinia400/Applied-Software-Engineering-Project/1384ac5c1195a3433507b1e44733e8132c277c06/23071063-seeding.db,data/student_metadata/23071063.db,downloaded,,77824
23071082,https://raw.githubusercontent.com/Rinco400/Applied-SE-Project/blob/0141a9365018fd70aef46c65ab640ad7085fb672/23071082-seeding.db,https://raw.githubusercontent.com/Rinco400/Applied-SE-Project/0141a9365018fd70aef46c65ab640ad7085fb672/23071082-seeding.db,data/student_metadata/23071082.db,downloaded,,3670016
23079239,https://raw.githubusercontent.com/mubashir005/SQ26/blob/main/23079239-seeding.db,https://raw.githubusercontent.com/mubashir005/SQ26/main/23079239-seeding.db,data/student_metadata/23079239.db,downloaded,,32768
23079506,https://raw.githubusercontent.com/QNabila/Seeding-QDArchive-/blob/main/23079506-seeding.db,https://raw.githubusercontent.com/QNabila/Seeding-QDArchive-/main/23079506-seeding.db,data/student_metadata/23079506.db,downloaded,,4112384
23080363,https://raw.githubusercontent.com/yeasin-shampod/QDArchive_Project.Shampod/blob/main/23080363-seeding.db,https://raw.githubusercontent.com/yeasin-shampod/QDArchive_Project.Shampod/main/23080363-seeding.db,data/student_metadata/23080363.db,downloaded,,3112960
23082320,https://raw.githubusercontent.com/hamza52969/Seeding_QDA/blob/master/23082320-seeding.db,https://raw.githubusercontent.com/hamza52969/Seeding_QDA/master/23082320-seeding.db,data/student_metadata/23082320.db,downloaded,,192512
23084716,https://raw.githubusercontent.com/sajiasidz/seedingQDarchive/blob/main/23084716-seeding.db,https://raw.githubusercontent.com/sajiasidz/seedingQDarchive/main/23084716-seeding.db,data/student_metadata/23084716.db,downloaded,,20258816
23100834,https://raw.githubusercontent.com/PremPrakashS/SeedingQDArch/blob/main/database/23100834-seeding.db,https://raw.githubusercontent.com/PremPrakashS/SeedingQDArch/main/database/23100834-seeding.db,data/student_metadata/23100834.db,downloaded,,14372864
