duplicate_type,value,count,source_students,global_project_ids
same_project_url,http://doi.org/10.5255/UKDA-SN-6331-1,2,23460503;23460503,53725;54016
same_project_url,http://doi.org/10.5255/UKDA-SN-6345-1,2,23460503;23460503,53663;53929
same_project_url,http://doi.org/10.5255/UKDA-SN-6373-1,2,23460503;23460503,54156;54420
same_project_url,http://doi.org/10.5255/UKDA-SN-6377-1,2,23460503;23460503,54233;54499
same_project_url,http://doi.org/10.5255/UKDA-SN-6411-9,2,23460503;23460503,54137;54387
same_project_url,http://doi.org/10.5255/UKDA-SN-6434-2,2,23460503;23460503,54567;54765
same_project_url,http://doi.org/10.5255/UKDA-SN-6435-2,2,23460503;23460503,54161;54426
same_project_url,http://doi.org/10.5255/UKDA-SN-6439-2,2,23460503;23460503,54228;54494
same_project_url,http://doi.org/10.5255/UKDA-SN-6442-1,2,23460503;23460503,54471;54663
same_project_url,http://doi.org/10.5255/UKDA-SN-6443-1,2,23460503;23460503,53247;53454
same_project_url,http://doi.org/10.5255/UKDA-SN-6479-1,2,23460503;23460503,53687;53979
same_project_url,http://doi.org/10.5255/UKDA-SN-6557-4,2,23460503;23460503,53641;53901
same_project_url,http://doi.org/10.5255/UKDA-SN-6567-1,2,23460503;23460503,53710;54004
same_project_url,http://doi.org/10.5255/UKDA-SN-6614-21,2,23460503;23460503,53130;53221
same_project_url,http://doi.org/10.5255/UKDA-SN-6615-1,2,23460503;23460503,53702;53995
same_project_url,http://doi.org/10.5255/UKDA-SN-6620-1,2,23460503;23460503,53758;54066
same_project_url,http://doi.org/10.5255/UKDA-SN-6653-4,2,23460503;23460503,53752;54057
same_project_url,http://doi.org/10.5255/UKDA-SN-6693-1,3,23460503;23460503;23460503,53303;53526;53625
same_project_url,http://doi.org/10.5255/UKDA-SN-6757-1,2,23460503;23460503,54558;54751
same_project_url,http://doi.org/10.5255/UKDA-SN-6761-1,2,23460503;23460503,53112;53206
same_project_url,http://doi.org/10.5255/UKDA-SN-6804-3,2,23460503;23460503,54242;54510
same_project_url,http://doi.org/10.5255/UKDA-SN-6806-1,2,23460503;23460503,54195;54457
same_project_url,http://doi.org/10.5255/UKDA-SN-6875-2,2,23460503;23460503,53267;53471
same_project_url,http://doi.org/10.5255/UKDA-SN-6911-12,2,23460503;23460503,53703;53996
same_project_url,http://doi.org/10.5255/UKDA-SN-6912-11,2,23460503;23460503,53226;53419
same_project_url,http://doi.org/10.5255/UKDA-SN-6913-12,3,23460503;23460503;23460503,53295;53510;53631
same_project_url,http://doi.org/10.5255/UKDA-SN-6914-12,3,23460503;23460503;23460503,53296;53511;53632
same_project_url,http://doi.org/10.5255/UKDA-SN-6916-12,3,23460503;23460503;23460503,53297;53512;53633
same_project_url,http://doi.org/10.5255/UKDA-SN-6927-1,2,23460503;23460503,53147;53240
same_project_url,http://doi.org/10.5255/UKDA-SN-6970-1,2,23460503;23460503,54474;54694
same_project_url,http://doi.org/10.5255/UKDA-SN-7121-1,2,23460503;23460503,54455;54664
same_project_url,http://doi.org/10.5255/UKDA-SN-7187-5,2,23460503;23460503,54409;54617
same_project_url,http://doi.org/10.5255/UKDA-SN-7313-1,2,23460503;23460503,53726;54017
same_project_url,http://doi.org/10.5255/UKDA-SN-7447-1,2,23460503;23460503,53115;53210
same_project_url,http://doi.org/10.5255/UKDA-SN-7448-1,2,23460503;23460503,53116;53211
same_project_url,http://doi.org/10.5255/UKDA-SN-7462-1,2,23460503;23460503,53091;53195
same_project_url,http://doi.org/10.5255/UKDA-SN-7471-3,2,23460503;23460503,53222;53411
same_project_url,http://doi.org/10.5255/UKDA-SN-7637-9,2,23460503;23460503,53644;53904
same_project_url,http://doi.org/10.5255/UKDA-SN-7638-9,2,23460503;23460503,53645;53905
